#,Title,abstract,venue,year,doi,authors,relative_citation_index,relevance_score
40,Secure Cloud Simulation Using Hybrid Algorithm,"Date of publication (dd/mm/yyyy): 03/12/2020 Abstract – At present, data security and privacy has been regarded as one of the biggest concerns in cloud computing. Data stored remotely is vulnerable and susceptible to threats. Due to this, users do not trust their data over the cloud. Cloud consumers want an assurance that they can access their data wherever they want without anyone else’s manipulation. Moreover, authentication of users over the cloud is another important factor to consider. After conducting surveys and studying various research papers it is found that the major security concerns of cloud computing includes Data leakage, Distributed Denial of Service (DDOS). The data security can be improvised by implementing various symmetric key algorithms so that data on the server is stored in such a manner that even if a person can access the data, they can't view the original data, as it needs to be decrypted. Including storage security, authorized access of users also helps in avoiding DDOS as only genuine users will have access to the cloud. A hybrid model, a mixture between elliptical curve cryptography and symmetric key algorithm in which ECC is used for user verification and to keep the private data secure while AES algorithm is used to allow the user to store and access their data securely in the cloud by encrypting the data on the client side and decrypting the data after downloading from the cloud. Since the private key is owned by the user of the data, none can decrypt the data, even if hackers get their hands on the data. Moreover, the user will securely authenticate themselves by using various input parameters at the time of login to the cloud server. The whole prototype of the proposed solution would benefit by enabling a proper access mechanism to avoid unauthorized access to the information system and secure storage to allow access of data.",,2020,10.1007/s12652-020-02082-z,"P. Divya, I. Jeya, B. Reena",1.8,1
94,Simulation of cloud infrastructure using CloudSim simulator: A practical approach for researchers,"Cloud Computing has evolved greatly in the recent years due to its characteristics of being secure, highly reliable, fault-tolerant, sustainable, and highly scalable, or we can say that it is capable of dynamically delivering IT resources over the Internet. Hence a lot of researchers and experts are working on improvising the cloud technology. To assess the performance of cloud environment, cloud simulators play an important role as it is a challenging task to perform experiments on the real cloud (which would incur huge cost in terms of currency if experiments are repeated). This paper gives a step by step practical approach towards simulating cloud components or cloud environment using the (open source) CloudSim simulator. It shows in-depth analysis and the factors responsible for simulating cloud concepts for your experiments or research or industry specific application.",International Conference on Systems Thinking in Management,2015,10.1109/icstm.2015.7225415,"Pravesh Humane, J. Varshapriya",1.8,1
195,Comparative Study of Task Scheduling Algorithms through Cloudsim,"Delivery of reliable services in cloud environment is a major issue. Reliability may be achieved by implementing the fault tolerance. Due to the abundant growth of traffic and service request on cloud datacenters, balancing the load in cloud environment is one of the serious challenges as failure may occur due to increase in power consumption, node failure, machine failure etc. Therefore there is a needof a policy for balancing the load among the datacenters and various solutions to balance the load have been proposed by researchers. Load distributionis the mechanism of dispersal the load between different nodes based on certain parameters such as underloaded(node) and overloaded (node). In this research articlewe have discussed the concept of dispersal of load and then perform a comparative analysis of various task-scheduling policies such as First Come First Serve, Shortest Job First and Round Robin onCloudsim.The simulation results on Cloudsim depicted that RR task-scheduling is much better than the FCFS and SJF whether we are using the Time shared policy or Space shared policy for execution of cloudlet.","2018 7th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",2018,10.1109/icrito.2018.8748514,"T. Zaidi, R. Pratap",1.7142860000000000,1
17,Virtual Machine Allocation Policy in Cloud Computing Using CloudSim in Java,"Cloud computing is a very powerful concept that can be used to enhance the next generation data center and allow service provider to use data center capability provided by cloud and develop the application based on user requirement. Data center of this cloud computing has huge number of resources and list of applications (with different architecture, configuration and requirement for deployment) want to use those resource. Cloud computing environment uses virtualization concept and provides resources to application by creating and allocating virtual machine to specific application. There for resource allocation policies and load balance policies play very vital role in allocating and managing the resources among various application in clod computing life cycle. CloudSim is an extensible simulation toolkit that enables modeling and simulation of Cloud computing environments. The model proposed by this paper for dynamic load balance policy with considering different attributes and different service level agreements in cloud computing environment helps this environment to utilize their resources and improves performance. The proposed model uses Hungarian algorithm and the result is verified by simulating this model using CloudSim.",,2015,10.14257/ijgdc.2015.8.1.14,"Haleema P K, N. S. N. Ch, Nagesh Hawanna, Iyengar, Jayasubalakshmi R, Kushang Parikh",1.7,1
221,Modelling and Simulation of ElasticSearch using CloudSim,"Simulation can be a powerful technique for evaluating the performance of large-scale cloud computing services in a relatively low cost, low risk and time-sensitive manner. Large-scale data indexing, distribution and management is complex to analyse in a timely manner. In this paper, we extend the CloudSim cloud simulation framework to model and simulate a distributed search engine architecture and its workload characteristics. To test the simulation framework, we develop a model based on a real-world ElasticSearch deployment on Linknovate.com. An experimental evaluation of the framework, comparing simulated and actual query response time, precision and resource utilisation, suggests that the proposed framework is capable of predicting performance at different scales in a precise, accurate and efficient manner. The results can assist ElasticSearch users to manage their scalability and infrastructure requirements.",IEEE International Symposium on Distributed Simulation and Real-Time Applications,2019,10.1109/ds-rt47707.2019.8958653,"James Byrne, Theo Lynn, M. Eduardo Ares, Patricia Takako Endo, Manuel Noya Mario, Sergej Svorobej, Malika Bendechache",1.6666669999999999,1
35,ContainerCloudSim: An environment for modeling and simulation of containers in cloud data centers,"Containers are increasingly gaining popularity and becoming one of the major deployment models in cloud environments. To evaluate the performance of scheduling and allocation policies in containerized cloud data centers, there is a need for evaluation environments that support scalable and repeatable experiments. Simulation techniques provide repeatable and controllable environments, and hence, they serve as a powerful tool for such purpose. This paper introduces ContainerCloudSim, which provides support for modeling and simulation of containerized cloud computing environments. We developed a simulation architecture for containerized clouds and implemented it as an extension of CloudSim. We described a number of use cases to demonstrate how one can plug in and compare their container scheduling and provisioning policies in terms of energy efficiency and SLA compliance. Our system is highly scalable as it supports simulation of large number of containers, given that there are more containers than virtual machines in a data center. Copyright © 2016 John Wiley & Sons, Ltd.","Software, Practice & Experience",2017,10.4018/978-1-5225-0759-8.ch017,"R. Calheiros, A. V. Dastjerdi, R. Buyya, Sareh Fotuhi Piraghaj",1.5,1
37,PICS: A Public IaaS Cloud Simulator,"Public clouds become essential for many organizations to run their applications because they provide huge financial benefits and great flexibility. However, it is very challenging to accurately evaluate the performance and cost of applications without actual deployment on the clouds. Existing cloud simulators are generally designed from the perspective of cloud service providers, thus they can be under-developed for answering questions for the perspective of cloud users. To solve this prediction and evaluation problem, we created a Public Cloud IaaS Simulator (PICS). PICS enables the cloud user to evaluate the cost and performance of public IaaS clouds along with such dimensions like VM and storage service, resource scaling, job scheduling, and diverse workload patterns. We extensively validated PICS by comparing its results with the data acquired from real public IaaS cloud using real cloud-applications. We show that PICS provides highly accurate simulation results (less than 5% of average errors) under a variety of use cases. Moreover, we evaluated PICS' sensitivity with imprecise simulation parameters. The results show that PICS still provides very reliable simulation results with imprecise simulation parameters and performance uncertainty.",IEEE International Conference on Cloud Computing,2015,10.1109/cloud.2015.37,"M. Humphrey, I. Kim, Wei Wang",1.5,1
79,CloudSimDisk: Energy-Aware Storage Simulation in CloudSim,"The cloud computing paradigm is continually evolving, and with it, the size and the complexity of its infrastructure. Assessing the performance of a cloud environment is an essential but an arduous task. Further, the energy consumed by data centers is steadily increasing and major components such as the storage systems need to be more energy efficient. Cloud simulation tools have proved quite useful to study these issues. However, these simulation tools lack mechanisms to study energy efficient storage in cloud systems. This paper contributes in the area of cloud computing by extending the widely used cloud simulator CloudSim. In this paper, we propose CloudSimDisk, a scalable module for modeling and simulation of energy-aware storage in cloud systems. We show how CloudSimDisk can be used to simulate energy-aware storage, and can be extended to study new algorithms for energy-awareness in cloud systems. Our simulation results proved to be in accordance with the analytical models that were developed to model energy consumption of hard disk drives in cloud systems. The source code of CloudSimDisk is also made available for the research community for further testing and development.",International Conference on Utility and Cloud Computing,2015,10.1109/ucc.2015.15,"C. Åhlund, B. Louis, S. Saguna, Karan Mitra",1.5,1
156,A Load Balancing Scheme Using Federate Migration Based on Virtual Machines for Cloud Simulations,"A maturing and promising technology, Cloud computing can benefit large-scale simulations by providing on-demand, anywhere simulation services to users. In order to enable multitask and multiuser simulation systems with Cloud computing, Cloud simulation platform (CSP) was proposed and developed. To use key techniques of Cloud computing such as virtualization to promote the running efficiency of large-scale military HLA systems, this paper proposes a new type of federate container, virtual machine (VM), and its dynamic migration algorithm considering both computation and communication cost. Experiments show that the migration scheme effectively improves the running efficiency of HLA system when the distributed system is not saturated.",,2015,10.1155/2015/506432,"Xiao Song, Yaofei Ma, Da Teng",1.5,1
225,A Dynamic Simulation Environment for Container-based Cloud Data Centers using ContainerCloudSim,"With the addition of the new type of cloud service known as Container as a Service (CaaS), the need for allocation and scheduling policies as well as modeling and simulation containerization environment for testing has increased. CloudSim simulation tool, which is a framework for modeling and simulation of cloud computing infrastructures and services, has provided an extension called ContainerCloudSim as a testing environment for containers. However, there are still gaps in the simulation that need to be addressed in order to provide accurate modeling for the virtualized container environment. In this paper, we focus on filling these gaps by adding three main features to the CloudSim tool. The first feature is providing datacenters with the capability of supporting both virtualization techniques: virtual machines and containers. The second feature is having a dynamic simulation and application cloudlets that are scheduled dynamically through the simulation time and the third feature is supporting the simulation of applications with dependent tasks. A test case is provided to show the contribution of our proposal, which provides a more realistic testing environment and increases the number of allocation and scheduling algorithms that could be tested upon CloudSim.","International Conference on the Internet, Cyber Security and Information Systems",2019,10.1109/icicis46948.2019.9014697,"Noorhan Saleh, M. Mashaly",1.5,1
16,Round robin selection of datacenter simulation technique cloudsim and cloud analsyt architecture and making it efficient by using load balancing technique,"Cloud Service Providers always offer Communication services that are flexible, on demand and measured. Multimedia services are used to be delivered through Cloud computing with severe QoS necessities. So there is a recent research is going on as a challenge between researchers, the QoS-aware, cost-efficient selection of data centers, due to these all necessities. Here in this work, there is an optimization approach to observe Cloud Data Center Selection Problem. The main feature of cloud computing is to achieve a high user agreement and enlarged resource consumption ratio by ensuring an well-organized and fair allotment of every computing resource is efficient load balancing. It helps to get appropriate load balancing aids in minimizing resource utilization, implementing fail-over, enabling scalability, avoiding bottleneck etc. In cloud computing situation load balancing is self-possessed of selecting data center for future demand and virtual machine organization at entity data center. Cloud computing resources have a variety of technology that make easy the implementation of big scale requirement. Therefore, the selection of appropriate data center for execution of a task is a significant feature to improve the performance of cloud computing. In this paper available policy for data center choice is Round-robin with simulation technique and also how CloudSim and cloud analyst help in selection of datacenter many more.",International Conference on Computing for Sustainable Global Development,2016,10.1145/2905055.2905253,"Sumit Kumar Bola, S. Beniwal, Sarvesh Kumar, Ankita Pareek, Lahar Singh Nishad",1.4444440000000001,1
26,Integrating I/Os in Cloudsim for Performance and Energy Estimation,"This article presents an extension of the IaaS Cloud simulator CloudSim. This extension takes into account the processing of i/o workload generated by virtual machines within a data center, and evaluates the overall performance and energy consumption. Indeed, according to state-of-the-art mstudies, storage systems energy consumption may account for as much as 40% in a data center. So, we modified the time computation model of CloudSim to consider i/o operations. Additionally, we designed several models of storage system devices including Hard Disk Drives and Solid-State Drives. We also modeled cpu utilization to compute the energy consumptions related to i/o request processing. This was achieved through machine learning techniques. Our storage system extensions have been evaluated using video encoding traces. The simulation results show that a significant amount of energy, around 25%, is consumed due to i/o workload execution. This corroborates the soundness of our CloudSim extensions.",ACM SIGOPS Operating Systems Review,2017,10.1145/3041710.3041715,"Frank Singhoff, Hamza Ouarnoughi, S. Rubini, Jalil Boukhobza",1.375,1
96,Edgenetworkcloudsim: Placement of service chains in edge clouds using networkcloudsim,"Edge cloud computing is a trending paradigm, which extends cloud computing by additionally utilizing computing resources at the network edge, e.g., at mobile base stations. Especially personalized services can be instantiated or migrated close to end users, which improves the latency and supports user mobility. However, the placement of the service chains is crucial for the performance of the services and the energy consumption of the edge cloud platform, and appropriate algorithms have to be designed. To support the simulative performance evaluation of such algorithms, EdgeNetworkCloudSim was developed. It is an extension of NetworkCloudSim, and allows to simulate and evaluate the orchestration and consolidation of service chains in an edge network cloud.",IEEE Conference on Network Softwarization,2017,10.1109/netsoft.2017.8004247,"Florian Wamser, Brice Kamneng Kwam, P. Tran-Gia, Michael Seufert",1.375,1
62,CloudSimSFC: Simulating Service Function chains in Multi-Domain Service Networks,,Simulation modelling practice and theory,2022,10.1016/j.simpat.2022.102597,"Haibin Cai, Xudong Liu, Xudong Mou, Rui Cheng, Jie Sun, Xiaohui Guo, R. Buyya, Tianyu Wo",1.3333330000000001,1
235,Energy-Efficient And Improved Qos -Driven Task Scheduling Algorithm In Mcc Environment Using Cloudsim Simulator,,,2019,10.1504/ijbic.2019.103963,K.Suganthi,1.3333330000000001,1
88,A new approach to survey on load balancing in VM in cloud computing: Using CloudSim,"""Cloud Computing"" is a technique which content software and web-services. We use it on pay-per use demand services. Central to all issues related to Cloud service lies under the establishment of an effective load balancing algorithm in a dynamic session. In this paper, we propose an approach of Round Robin technique in a circular way and by this method we try to clarify the load balancing scenario of a cloud server during its execution. It will help to get an effective and fast execution environment of task assigned by the user which helps in to create an effective communication framework between broker and virtual machine (VM) to optimize the time and minimize the cost. We implement it over CloudSim 3.0 under VM scheduling (Space and Time sharing) policies. Scheduling over Virtual Machine and Cloudlets are being analyzed over Round Robin and FCFS scheduling policy.",Journées Francophones d'Ingénierie des Connaissances,2015,10.1109/ic4.2015.7375671,"Soumen Santra, Kalyani Mali",1.3,1
150,Application of the Cloudsim Toolkit in Virtual Machine Placement,"This paper introduced the architecture,core class libraries and applications of the Cloud Computing simulation toolkit— Cloudsim.Besides we found a mathematical model for virtual machine placement problem,and introduced a new approximation algorithm CF to solve it.This algorithm was compared with Cloudsim built-in algorithm FCFS.Simulations were finished on Cloudsim.The result showed that cloud computing resource utilization can be effectively improved by optimizing the virtual machine placement algorithm.And Cloudsim can efficiently support extended simulation and realize the simulation of virtual machine placement algorithm.",,2015,10.1109/icc.2015.7249255,Liu Ch,1.3,1
144,ACE: Availability-Aware CloudSim Extension,"In the interconnected globe where service delivery is the success measure, cloud high availability (HA) is an indispensable area for enterprises. An HA-aware cloud system provides different approaches to handle the outages. This includes geo-redundancy, failover schemes, and HA-aware placement solutions. However, using real-cloud platforms to model HA-aware approaches is hindered by the configuration settings. To this end, simulation tools, such as CloudSim, can be used to evaluate HA solutions and a cloud resiliency against failures. CloudSim allows implementing of scheduling policies, but it does not support HA properties. This paper provides availability-aware CloudSim extension (ACE). ACE extends CloudSim with a graphical and textual modeling to ensure simplicity and reusability of cloud scenarios. ACE has added HA-aware modeling (HA metrics and failure/redundancy/interdependency models) and HA-aware scheduling (HA-aware placements, failover, repair, and load balancing policies) into CloudSim. With ACE, the creation of cloud scenarios is facilitated, and multiple HA-aware deployment solutions can be evaluated under different stochastic and deterministic events. ACE can assess the impact of different redundancy/failure models, and other performance policies to extract HA-aware lessons. In this paper, ACE is assessed on a cloud application to evaluate different redundancy/failure models and provide availability analysis of the HA-aware placement solution.",IEEE Transactions on Network and Service Management,2018,10.1109/tnsm.2018.2879665,"A. Shami, Manar Jammal, Hassan Hawilo, A. Kanso",1.2857140000000000,1
47,A modelling & Simulation via CloudSim for Live Migration in Virtual Machines,"In growing era of cloud computing, one major utility is better and improved performance. For which Cloud Computing is a model which provides various resources available in a pool from where the users can get available the same when required. In the overall process there can be an important issue that is Fault tolerance to provide the high availability for the process which is being required by the user. And simultaneously if any fault occurs then user might not found any server downtime and other kind of delay in getting the response. There are many compute nodes such as Virtual machines further controlled by the Hypervisor. For transferring the load among compute nodes can be done by Cold Migration earlier there was a technique Non-Live migration. But at the same time there were lot many issues and challenges with the same that user might get the server downtime for infinite delay. For overcoming that there is an on-going technique which is known as Hot Migration or Live migration. It allows system administrators to shuffle the load available on an operating system instance to other Guest Operating system instance without any intervention on hosted service. This approach benefits to provide and efficient online system where no downfall in server maintenance. It also cures the load balancing, reconfiguration of data centers. The simulation of above aforesaid concept has been done via Cloudsim a tool for modelling and simulation in Cloud computing environment for live migration of virtual machines without intervention of cloud services. This paper simulated the work and gives the efficient results in comparison to the existing techniques.",,2021,10.1088/1757-899x/1116/1/012138,Ambika Gupta,1.25,1
91,IsV2C: An Integrated Road Traffic-Network-Cloud Simulator for V2C Connected Car Services,"The recent growth of connected car technology encourages IT and vehicle organizations to develop advanced vehicle-to-cloud (V2C) services such as driving assistance, infotainment, and vehicle maintenance. However, since their performances highly depend on the resource configuration and regional characteristics, it is almost impossible to examine the service feasibility in every candidate region by constructing real testbeds. To overcome this problem, we present an integrated road traffic-network-cloud simulator for V2C connected car services (IsV2C) with a user-friendly GUI. The IsV2C aims to evaluate V2C services with the user-specified V2C environment and service scenarios in a particular region. In the IsV2C, road traffic, network, and cloud simulation are intimately linked to reflect both the realistic movement of vehicles and service transactions in real-time. To accurately mimic task execution in both vehicles and the cloud, the IsV2C utilizes a rigorous emulation for evaluated services. Simulation results of the IsV2C show whether each simulated application satisfies the service level objectives regarding service time, cloud cost, and data transmission performance. As for the validation, we evaluated three sample V2C applications in an urban area, and the results proved that the IsV2C could offer useful information to both service providers and cloud providers for their service launching and profit estimation. To the best of our knowledge, the IsV2C is the first work that presents an integrated road traffic-network-cloud simulation framework for an end-to-end V2C service evaluation.",IEEE International Conference on Services Computing,2017,10.1109/scc.2017.62,"Sungpil Woo, Nhat Pham, Minsu Jeon, Jisoo Choi, Jiyong Han, Jeongkyu Park, Dongsik Yoon, Seonghwan Kim, Daeyoung Kim, Chan-Hyun Youn, Eunjoo Yang, Heejae Kim",1.25,1
139,CLOUD SIMULATION OF A FLEXIBLE MANIPULATOR SYSTEM,"This paper reports the development of a cloud simulation environment for a single link flexible manipulator system, where users can perform a simulation exercise from a remote location via a graphical user interface (GUI). The cloud simulation is an arrangement where simulation runs on a server and can be accessed by the users from remote locations. Within the developed environment the user selects desired system specifications via the GUI and passes them to the hosting server for the simulation to be performed at the server. The simulation results are subsequently presented to the remote user via the GUI. This paper details the technical development process and highlights its advantages and shortcomings. A number of case studies are also provided to demonstrate the potential of this environment for educational activities.",,2017,10.1049/pbce086e,"M. S. A. Quadri, R. Hashemian, A. Azad",1.25,1
243,PerficientCloudSim: a tool to simulate large-scale computation in heterogeneous clouds,,Journal of Supercomputing,2020,10.1007/s11227-020-03425-5,"I. Rahman, Lee Gillam, M. Zakarya, A. Khan",1.2,1
220,Implementation of Various Load-Balancing Approaches for Cloud Computing Using CloudSim,"Cloud computing is an Internet based technology which empowers its user by providing access to an offsite huge distributed virtualized and scalable infrastructure via Internet. This infrastructure is composed of a number of hosts which may be homogeneous or heterogeneous in configuration\n are networked together to enable network storage, computing, services to the users. During high demands of users the workload on infrastructure increases which may impact the performance in cloud environment due to load imbalance. To overcome such issues the concept of load balancing arises.\n It is a methodology which works towards to equalize the load among the available resources in cloud surroundings. The role of load balancing is vital in cloud computing surroundings as it is responsible for maintaining the Quality of Services (QoS) in terms of optimized usage of resources,\n limiting the operational cost, making energy efficient system and increasing scalability. Testing of the load balancing algorithms in real cloud environs is a bottleneck due to resource wastage and lack of time. Simulation provides an aid to developers or researchers to provide a feedback\n by mimicking the actual environment. The paper deals with simulation based analysis of different distributed and centralized load balancing algorithms implemented in CloudSim.",Journal of Computational and Theoretical Nanoscience,2019,10.1166/jctn.2019.8280,"Anurag Jain, Rajesh Kumar, Minakshi Sharma",1.1666669999999999,1
230,Scheduling in CloudSim of Interdependent Tasks for SLA Design,"One of the most recent concepts in the framework of today’s distributed systems is Cloud Computing. A very difficult problem that needs to be addressed is the management of the Cloud. When designing a Cloud scheduling strategy, the design trade-offs of the Cloud architecture should be evaluated. The easiest way to evaluate this infrastructure is to use a simulation tool (in this case CloudSim simulation toolkit). This article examines three different algorithms that consider the scheduling of tasks in Cloud, which are described as Directed Acyclic Graphs (DAGs) (interdependent tasks). The results of the scheduling algorithms are valuable because they are helpful for the design of the Cloud Computing scheduling algorithms and for the design of a Service Level Agreement (SLA) contract whose members are the Cloud Service Provider (CSP) and the Cloud Service Customers (CSCs). This paper shows that the selection of the scheduling algorithms is useful in the design of the SLA contract.",,2019,10.24846/v28i4y201911,"Catalin Negru, Bogdan Tiganoaia, Florin Pop, G. Iordache",1.1666669999999999,1
115,SUMMON: Gathering smart city data to support IoT-Fog-Cloud simulations,"Following the recent technological trends in the Information and Communications Technology (ICT) world, Internet of Things (IoT) environments generate unprecedented amounts of data that should be stored, processed and analyzed. Though the use Cloud solutions has already started to dominate the Internet, with the appearance of a growing number of communicating things IoT-Fog-Cloud systems are being formed. Cloud and Fog technologies can be used to aid data management tasks, but their application give birth to complex systems that still needs a significant amount of research. The goal of our research is to provide means for simulating and investigating real IoT-Fog-Cloud systems. In this paper we take the first steps towards our aims, and analyze sensor data formats and datasets of Smart Cities, then propose a tool called SUMMON to provide means for gathering and filtering open datasets. We discuss how IoT data could be made available for simulation environments, and we also exemplify its utilization in an open source IoT device simulator.",International Conference on Fog and Mobile Edge Computing,2018,10.1109/fmec.2018.8364047,"K. Leszko, T. Pflanzner, A. Kertész",1.1428570000000000,1
75,Bazaar-Extension: A CloudSim Extension for Simulating Negotiation Based Resource Allocations,"Negotiation processes taking place between two or more parties need to agree on a viable execution mechanism. Auctioning protocols have proven useful as electronic negotiation mechanisms in the past. Auctions are a way of determining the price of a resource in a dynamic way. Additionally, auctions have well defined rules such as winner and loser determination, time restrictions or minimum price increment. These restrictions are necessary to ensure fair and transparent resource allocation. However, these rules are limiting flexibility of consumers and providers. In this paper we introduce a novel negotiation based resource allocation mechanisms using the offer-counteroffer negotiation protocol paradigm. This allocation mechanism shows similarities to the supermarket approach as consumer and provider are able to communicate directly. Further, the price is determined in a dynamic way similar to auctioning. We developed a Bazaar-Extension for CloudSim which simulates negotiation processes with different strategies. In this paper we introduce and analyze a specific Genetic Algorithm based negotiation strategy. For the comparison of the efficiency of resource allocations a novel Bazaar-Score was used.",IEEE International Conference on Services Computing,2016,10.1109/scc.2016.62,"W. Mach, E. Schikuta, Benedikt Pittl",1.1111110000000000,1
12,Design and evaluation of elastic media resource allocation algorithms using CloudSim extensions,"With the maturity of Cloud computing comes research into converting a range of traditionally best effort programs into cloud-enabled services. One such service currently under investigation in the Elastic Media Distribution (EMD) project, is how to enable qualitative, reliable and scalable realtime media collaboration services using proven Cloud technology. While existing best-effort solutions provide plenty of features, they do not provide the quality guarantees and reliability required for critical services in globally distributed corporations. On the other hand, some pricey dedicated solutions do offer these low-delay, reliable cooperation services, but without the benefits that clouds can bring in terms of scalability. In this paper we describe results attained in the EMD project on novel resource provisioning algorithms for a mixture of end-to-end Audio/Video streams with file-based transfers, allowing for configurable tradeoffs between service response time and cost. We extended the CloudSim simulator with models allowing us to simulate collaborative interactive sessions (more specifically educational real-time collaboration), and evaluated the performance of our proposed provisioning heuristics. The results show that the proposed dynamic algorithm allows for automated cost-performance tradeoff by reducing average total Virtual Machine (VM) cost by a maximum of 58% compared to more naive approaches, while keeping average time for clients to join a meeting in line.",Conference on Network and Service Management,2015,10.1109/cnsm.2015.7367377,"R. Xavier, Hendrik Moens, F. Turck, B. Volckaert",1.1,1
43,CloudSimHypervisor: Modeling and Simulating Network Slicing in Software-Defined Cloud Networks,"Software-Defined Networking (SDN) is an innovative technology which provides a programmable network control which is decoupled from the physical infrastructure. Network Virtualization (NV) is the phenomenon where a given physical network infrastructure and its resources are abstracted to create multiple logical virtual network slices of the underlying substrate. NV enables independent virtual networks to co-exist on one or more shared physical network infrastructure. Edge computing makes use of the edge resources in close proximity to end-users to reduce service delay and the network traffic volume in the end-to-end networks. Similarly, network slicing which is a key enabling technology for 5G networks is designed to support different services from different platforms at different scales enables sharing of physical network infrastructure on many different virtual network layers. These innovative technologies and strategies have gained significant attention from both academia and industry as they have the potential to maximize network resource utilization and optimize end–to–end network service delivery in 5G solutions deployment. To enable continuous simulation and development of applicable 5G networking concepts using these technologies, there is a need for an accessible and easy-to-learn testbed which is able to efficiently measure the performance of physical and virtual network capacities, provisioning approaches and management of multiple architectural models using large-scale network slicing configurations in a repeatable and controllable manner. These tools and toolkits provide scalable, lightweight and controlled cloud simulation environments necessary to analyse network traffic flows, allocation capacities and policies and the behaviour of multiple heterogeneous networks at an extremely low cost as compared to the huge financial commitments involved in conducting similar experiments in a real-life event. Existing solutions do not support Network Slicing and end- to -end heterogenous network automation which are key enablers of 5G network implementation. Hence in this paper, the CloudSimHypervisor framework is developed in this based on CloudSimSDN-NFV. The complete architecture and features of the CloudSimHypervisor framework and some used cases are presented in this paper. We validate the CloudSimHypervisor framework with two use case experiments in the cloud computing environment: Joint compute and network resource utilization and network traffic prioritization. Results from these experiments display the efficiency of the CloudSimHypervisor in estimating and measuring processing speed, transmission speed, compute and network usage efficiency and energy consumption.",IEEE Access,2021,10.1109/access.2021.3079501,"Maozhen Li, H. Al-Raweshidy, Andrews O. Nyanteh, M. Abbod",1.0,1
53,Renovation of EdgeCloudSim: An Efficient Discrete-Event Approach,"Due to the growing popularity of the Internet of Things, edge computing concept has been widely studied to relieve the load on the original cloud and networks while improving the service quality for end-users. To simulate such a complex environment involving edge and cloud computing, EdgeCloudSim has been widely adopted. However, it suffers from certain efficiency and scalability issues due to the ignorance of the deficiency in the originally adopted data structures and maintenance strategies. Specifically, it generates all events at beginning of the simulation and stores unnecessary historical information, both result in unnecessarily high complexity for search operations. In this work, by fixing the mismatches on the concept of discrete-event simulation, we propose enhancement of EdgeCloudSim which improves not only the runtime efficiency of simulation, but also the flexibility and scalability. Through extensive experiments with statistical methods, we show that the enhancement does not affect the expressiveness of simulations while obtaining 2 orders of magnitude speedup, especially when the device count is large.",International Conference on Fog and Mobile Edge Computing,2021,10.1109/fmec54266.2021.9732572,"Raphael Freymann, Junjie Shi, Kuan-Hsun Chen, Jian-Jia Chen",1.0,1
56,Cloud Simulation for Continuous Integration and Deployment in Robotics,"Continuous Integration and Deployment in the robotics domain is still underutilized when compared to other fields of software development. Also, conventional testing techniques used in CI/CD pipelines are usually not enough to fully test a robotic project in its integrity. In this paper, an analysis is made regarding the usage of CI/CD techniques in robotic related repositories to both verify the veracity of these statements, as well as finding their causes. Additionally, a novel approach in the scope of CI/CD is explored, making use of cloud-based technologies to add additional automated simulation tests to the pipeline and integrate them with ease in the development of robotic software. Finally, the proposed approach is showcased in an industrial application.",International Conference on Industrial Informatics,2021,10.1109/indin45523.2021.9557476,"G. Veiga, Rafael Arrais, Sérgio Teixeira",1.0,1
87,CM Cloud Simulator: A Cost Model Simulator Module for Cloudsim,"The vast cloud computing environment holds out good prospects for researchers in the computing technology field. However, with several Cloud providers offering different pricing models, the evaluation and modeling of Cloud environments and applications are getting harder because there is a lack of tools for this task. We propose the CM Cloud Simulator to fill this gap since it provides a comprehensive and dynamic simulation of applications with various deployment configurations and incurs the cost it would require when implemented in a Cloud Provider, according to the cost model of any service provider. The CM Cloud Simulator also provides custom-built cost models through the XML file.",World Congress on Services,2016,10.1109/services.2016.20,"M. Peixoto, B. Batista, S. Reiff-Marganiec, Dionisio Machado Leite Filho, B. Kuehne, D. C. Alves",1.0,1
114,FTCloudSim: support for cloud service reliability enhancement simulation,"Recently, an increasing number of companies have begun to deploy their application services in the cloud. However, the cloud data centre downtime has negatively affected the quality of cloud service. Many researchers have studied the problem of cloud service reliability assurance. However, there is a shortage of tools that enable researchers to evaluate their newly proposed cloud service reliability enhancement mechanisms. To fill this gap, in this paper, we propose FTCloudSim as a reliable cloud data centre simulation system based on the basic functionalities of CloudSim. FTCloudSim provides an extensible interface to help researchers implement new cloud service reliability enhancement mechanisms. In addition, FTCloudSim can also study the behaviour of the newly proposed mechanisms. We demonstrate the capabilities of FTCloudSim by using five reliability enhancement mechanisms. The results indicate the benefits of our proposed simulation system.",International Journal of Web and Grid Services,2015,10.1504/ijwgs.2015.072804,"Ao Zhou, Qibo Sun, Fangchun Yang, Chenchen Yang, Lei Sun, Shangguang Wang",1.0,1
161,CloudSim Plus: First public pre-release,,,2016,10.1109/services.2016.20,"M. Freire, Raysa L. Oliveira, Manoel C. Silva Filho",1.0,1
