Title,abstract,Review Status,Selection Status,Last Stage included,relative_citation_index,relevance_score,Research Question,Authors,"Related Literature Review ",year,DOI,venue,"Related back to Literature Review ",Comment,#
A Comparative Analysis of Cloud Simulators,"Cloud Computing is a new paradigm which allows individuals and organizations to purchase resources like compute, storage, networking etc as a utility with minimum human intervention. According to recent surveys more than half of the large to medium size organizations have already migrated to the cloud. Despite of providing resources as a utility and its wide spread acceptance in the IT community, cloud computing is still at its prime and poses many challenges like automated service provisioning, virtual machine migration, server consolidation, energy management, traffic analysis, data security, software frameworks which needs considerable amount of research to stabilize. Conducting research on live cloud environments for individuals or small institutions is very difficult due to the costs involved in setting up a cloud. This paper presents various cloud simulators which were developed over the years that are a cost effective way of conducting cloud research tasks. This paper compares almost 17 cloud simulators based on diverse criteria and the result and explanations are presented which enables new researchers to choose a suitable cloud simulator.",,Undecided,Abstract Screening,2.333333,1,,Suryateja Satya Pericherla,,2016,10.5815/ijmecs.2016.04.08,,,,133
Vehicular-cloud simulation framework for predicting traffic flow data,"The traffic flow prediction has become an important process tailored with the exponential development of cities and the transportation systems. The main purpose of the prediction task is to improve the logistic services and reduce the cost of the road congestion. In this paper, we propose a vehicular-cloud simulation framework with a layer of traffic cloud services to predict accurate traffic flow data. Learning of supervised traffic flow data from several data sources is the core of these services. Particularly, we focus on a particular type of dependency (i.e., monotone dependency) between the learning traffic inputs and its responses. The learning algorithm we propose aims to solve the regression problem by predicting values of a continuous measure. The accuracy of the proposed cloud services have been tested under congestion conditions, where the results show better performances over short periods and daily forecasts.",,Rejected,Abstract Screening,2.2,1,,"Sahraoui Abdelatif, Ahmed Ahmim, Derdour Makhlouf, P. Roose",,2020,10.1504/ijitst.2020.104578,International Journal of Internet Technology and Secured Transactions,,,231
Cloud simulators in the implementation and evaluation of virtual machine placement algorithms,"In recent years, many algorithms have been proposed for the optimized allocation of virtual machines in cloud data centers. Such algorithms are usually implemented and evaluated in a cloud simulator. This paper investigates the impact of the choice of cloud simulator on the implementation of the algorithms and on the evaluation results. In particular, we report our experiences with porting an algorithm and its evaluation framework from one simulator (CloudSim) to another (DISSECT‐CF). Our findings include limitations in the design of the simulators and in existing algorithm implementations. Based on this experience, we propose architectural guidelines for the integration of virtual machine allocation algorithms into cloud simulators.",,Undecided,Abstract Screening,2.142857,1,,Z. Mann,,2018,10.1002/spe.2579,"Software, Practice & Experience",,,119
Comparison of Various Cloud Simulation tools available in Cloud Computing,"2 Abstract: Cloud computing is sharing of computer hardware and software resources over the internet so that anyone who is connected to the internet can access it as a service in a seamless way. As we are moving more and more towards the application of this newly emerging technology, it is essential to study, evaluate and analyse the performance, security and other related problems that might be encountered in cloud computing. Since, it is not a feasible way to directly analyse the behaviour of cloud on such problems using the real hardware and software resources due to its high costs, modelling and simulation has become a very powerful tool to cope with these issues. In this paper, we review, analyse and compare features of the existing cloud computing modelling and simulation tools.",,Undecided,Abstract Screening,2.1,1,,"Mayank Shekhar, Utkal Sinha",,2015,10.17148/ijarcce.2015.4342,,,,157
Parallel Application Performance Prediction Using Analysis Based Models and HPC Simulations,"Parallel application performance models provide valuable insight about the performance in real systems. Capable tools providing fast, accurate, and comprehensive prediction and evaluation of high-performance computing (HPC) applications and system architectures have important value. This paper presents PyPassT, an analysis based modeling framework built on static program analysis and integrated simulation of the target HPC architectures. More specifically, the framework analyzes application source code written in C with OpenACC directives and transforms it into an application model describing its computation and communication behavior (including CPU and GPU workloads, memory accesses, and message-passing transactions). The application model is then executed on a simulated HPC architecture for performance analysis. Preliminary experiments demonstrate that the proposed framework can represent the runtime behavior of benchmark applications with good accuracy.",,Selected,Abstract Screening,2,1,,"S. Eidenbenz, Gopinath Chennupati, N. Santhi, M. Obaida, Jason Liu",,2018,10.1145/3200921.3200937,SIGSIM Principles of Advanced Discrete Simulation,,,90
"Energy-driven cloud simulation: existing surveys, simulation supports, impacts and challenges","A large scale cloud data center is needed to provision various applications in different domains. As a result, power consumption is expected to increase due to huge operations and expansion of cloud data centers. Furthermore, it also intensifies environment concern. Various approaches and solutions for energy-driven cloud data center have been proposed to overcome this challenge. Testing and evaluating these solutions in large scale is costly and time consuming. Hence, simulation techniques become the preferred approach to tackle this concern. There are a few cloud simulators have been developed with different features and capabilities which can be chosen for this reason. A survey work can serve as a guideline. A few cloud simulation surveys have been done but limited survey is found for energy-driven cloud simulation. This review complements the existing surveys by considering different aspects of energy-driven cloud simulators. Therefore, this paper presents a review of existing cloud simulation surveys with several classifications. Furthermore, it provides some insights of the selected cloud simulators by emphasizing on the energy-driven simulation supports and the impact of the cloud simulators in succeeding works. This paper also highlights open and future challenges.",,Rejected,Full-Text Screening,2,1,,Azlan B. Ismail,,2020,10.1007/s10586-020-03068-4,Cluster Computing,,,226
Extending CloudSim to simulate sensor networks,"With the enormous growth of sensing devices tending to the use of Internet of everything, data aggregated by these devices are the biggest data streams generated in the history of IT. Thus, aggregating such data in the cloud for leveraging powerful cloud computing processing and storage is essential, and it eventually led to the emergence of Sensor-Cloud concept. This has allowed aggregation of the sensors’ data to the cloud for further processing, storage, and visualization. Furthermore, virtualization makes the sensors accessible to other end-user applications that require such data. All of these features are expected to be provided by the Sensor-Cloud invisibly, without the end-user application developer being aware of the sensor location or hardware specifications. For these reasons, a simulation platform where Sensor-Cloud infrastructure agents and components may be modeled, scheduling policies defined, and execution time assessed is essential to assure performance and quality of service. The aim of this study is to develop such a platform by enhancing CloudSim, the most well-known and powerful simulation tool for cloud computing. A user-friendly Java Script Swing-based graphical user interface (GUI) has been carefully designed and implemented for this purpose. The user can then utilize the specific interface to define the Cloudlet type as well as the scheduling on a single virtual machine. Finally, a simulation study is carried out on the platform to demonstrate its efficiency and accuracy. We were able to fully model the needed scenarios and acquire real-time results, displaying good accuracy in terms of application response time with a mean absolute percentage error (MAPE) of 3.37%, demonstrating the increased proposed platform’s proper operation.",,Undecided,Abstract Screening,2,1,,"E. A. Elsheikh, F. Sliman, M. Habaebi, M. R. Islam, M. Mesri, Yacine Merrad",,2022,10.1177/00375497221105530,International Conference on Advances in System Simulation,,,63
Simulation of cloud infrastructure using CloudSim simulator: A practical approach for researchers,"Cloud Computing has evolved greatly in the recent years due to its characteristics of being secure, highly reliable, fault-tolerant, sustainable, and highly scalable; or we can say that it is capable of dynamically delivering IT resources over the Internet. Hence a lot of researchers and experts are working on improvising the cloud technology. To assess the performance of cloud environment, cloud simulators play an important role as it is a challenging task to perform experiments on the real cloud (which would incur huge cost in terms of currency if experiments are repeated). This paper gives a step by step practical approach towards simulating cloud components or cloud environment using the (open source) CloudSim simulator. It shows in-depth analysis and the factors responsible for simulating cloud concepts for your experiments or research or industry specific application.",,Rejected,Abstract Screening,1.8,1,,"Pravesh Humane, J. Varshapriya",,2015,10.1109/icstm.2015.7225415,International Conference on Systems Thinking in Management,,,94
Secure Cloud Simulation Using Hybrid Algorithm,"Date of publication (dd/mm/yyyy): 03/12/2020 Abstract – At present, data security and privacy has been regarded as one of the biggest concerns in cloud computing. Data stored remotely is vulnerable and susceptible to threats. Due to this, users do not trust their data over the cloud. Cloud consumers want an assurance that they can access their data wherever they want without anyone else’s manipulation. Moreover, authentication of users over the cloud is another important factor to consider. After conducting surveys and studying various research papers it is found that the major security concerns of cloud computing includes Data leakage, Distributed Denial of Service (DDOS). The data security can be improvised by implementing various symmetric key algorithms so that data on the server is stored in such a manner that even if a person can access the data, they can't view the original data, as it needs to be decrypted. Including storage security, authorized access of users also helps in avoiding DDOS as only genuine users will have access to the cloud. A hybrid model, a mixture between elliptical curve cryptography and symmetric key algorithm in which ECC is used for user verification and to keep the private data secure while AES algorithm is used to allow the user to store and access their data securely in the cloud by encrypting the data on the client side and decrypting the data after downloading from the cloud. Since the private key is owned by the user of the data, none can decrypt the data, even if hackers get their hands on the data. Moreover, the user will securely authenticate themselves by using various input parameters at the time of login to the cloud server. The whole prototype of the proposed solution would benefit by enabling a proper access mechanism to avoid unauthorized access to the information system and secure storage to allow access of data.",,Rejected,Abstract Screening,1.8,1,,"P. Divya, I. Jeya, B. Reena",,2020,10.1007/s12652-020-02082-z,,,,40
Comparative Study of Task Scheduling Algorithms through Cloudsim,"Delivery of reliable services in cloud environment is a major issue. Reliability may be achieved by implementing the fault tolerance. Due to the abundant growth of traffic and service request on cloud datacenters, balancing the load in cloud environment is one of the serious challenges as failure may occur due to increase in power consumption, node failure, machine failure etc. Therefore there is a needof a policy for balancing the load among the datacenters and various solutions to balance the load have been proposed by researchers. Load distributionis the mechanism of dispersal the load between different nodes based on certain parameters such as underloaded(node) and overloaded (node). In this research articlewe have discussed the concept of dispersal of load and then perform a comparative analysis of various task-scheduling policies such as First Come First Serve, Shortest Job First and Round Robin onCloudsim.The simulation results on Cloudsim depicted that RR task-scheduling is much better than the FCFS and SJF whether we are using the Time shared policy or Space shared policy for execution of cloudlet.",,Rejected,Abstract Screening,1.714286,1,,"T. Zaidi, R. Pratap",,2018,10.1109/icrito.2018.8748514,"2018 7th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",,,195
Virtual Machine Allocation Policy in Cloud Computing Using CloudSim in Java,"Cloud computing is a very powerful concept that can be used to enhance the next generation data center and allow service provider to use data center capability provided by cloud and develop the application based on user requirement. Data center of this cloud computing has huge number of resources and list of applications (with different architecture, configuration and requirement for deployment) want to use those resource. Cloud computing environment uses virtualization concept and provides resources to application by creating and allocating virtual machine to specific application. There for resource allocation policies and load balance policies play very vital role in allocating and managing the resources among various application in clod computing life cycle. CloudSim is an extensible simulation toolkit that enables modeling and simulation of Cloud computing environments. The model proposed by this paper for dynamic load balance policy with considering different attributes and different service level agreements in cloud computing environment helps this environment to utilize their resources and improves performance. The proposed model uses Hungarian algorithm and the result is verified by simulating this model using CloudSim.",,Rejected,Abstract Screening,1.7,1,,"Haleema P K, N. S. N. Ch, Nagesh Hawanna, Iyengar, Jayasubalakshmi R, Kushang Parikh",,2015,10.14257/ijgdc.2015.8.1.14,,,,17
Modelling and Simulation of ElasticSearch using CloudSim,"Simulation can be a powerful technique for evaluating the performance of large-scale cloud computing services in a relatively low cost, low risk and time-sensitive manner. Large-scale data indexing, distribution and management is complex to analyse in a timely manner. In this paper, we extend the CloudSim cloud simulation framework to model and simulate a distributed search engine architecture and its workload characteristics. To test the simulation framework, we develop a model based on a real-world ElasticSearch deployment on Linknovate.com. An experimental evaluation of the framework, comparing simulated and actual query response time, precision and resource utilisation, suggests that the proposed framework is capable of predicting performance at different scales in a precise, accurate and efficient manner. The results can assist ElasticSearch users to manage their scalability and infrastructure requirements.",,Rejected,Abstract Screening,1.666667,1,,"James Byrne, Theo Lynn, M. Eduardo Ares, Patricia Takako Endo, Manuel Noya Mario, Sergej Svorobej, Malika Bendechache",,2019,10.1109/ds-rt47707.2019.8958653,IEEE International Symposium on Distributed Simulation and Real-Time Applications,,,221
A Load Balancing Scheme Using Federate Migration Based on Virtual Machines for Cloud Simulations,"A maturing and promising technology, Cloud computing can benefit large-scale simulations by providing on-demand, anywhere simulation services to users. In order to enable multitask and multiuser simulation systems with Cloud computing, Cloud simulation platform (CSP) was proposed and developed. To use key techniques of Cloud computing such as virtualization to promote the running efficiency of large-scale military HLA systems, this paper proposes a new type of federate container, virtual machine (VM), and its dynamic migration algorithm considering both computation and communication cost. Experiments show that the migration scheme effectively improves the running efficiency of HLA system when the distributed system is not saturated.",,Rejected,Abstract Screening,1.5,1,,"Xiao Song, Yaofei Ma, Da Teng",,2015,10.1155/2015/506432,,,,156
A Dynamic Simulation Environment for Container-based Cloud Data Centers using ContainerCloudSim,"With the addition of the new type of cloud service known as Container as a Service (CaaS), the need for allocation and scheduling policies as well as modeling and simulation containerization environment for testing has increased. CloudSim simulation tool, which is a framework for modeling and simulation of cloud computing infrastructures and services, has provided an extension called ContainerCloudSim as a testing environment for containers. However, there are still gaps in the simulation that need to be addressed in order to provide accurate modeling for the virtualized container environment. In this paper, we focus on filling these gaps by adding three main features to the CloudSim tool. The first feature is providing datacenters with the capability of supporting both virtualization techniques: virtual machines and containers. The second feature is having a dynamic simulation and application cloudlets that are scheduled dynamically through the simulation time and the third feature is supporting the simulation of applications with dependent tasks. A test case is provided to show the contribution of our proposal, which provides a more realistic testing environment and increases the number of allocation and scheduling algorithms that could be tested upon CloudSim.",,Undecided,Abstract Screening,1.5,1,,"Noorhan Saleh, M. Mashaly",,2019,10.1109/icicis46948.2019.9014697,"International Conference on the Internet, Cyber Security and Information Systems",,,225
CloudSimDisk: Energy-Aware Storage Simulation in CloudSim,"The cloud computing paradigm is continually evolving, and with it, the size and the complexity of its infrastructure. Assessing the performance of a cloud environment is an essential but an arduous task. Further, the energy consumed by data centers is steadily increasing and major components such as the storage systems need to be more energy efficient. Cloud simulation tools have proved quite useful to study these issues. However, these simulation tools lack mechanisms to study energy efficient storage in cloud systems. This paper contributes in the area of cloud computing by extending the widely used cloud simulator CloudSim. In this paper, we propose CloudSimDisk, a scalable module for modeling and simulation of energy-aware storage in cloud systems. We show how CloudSimDisk can be used to simulate energy-aware storage, and can be extended to study new algorithms for energy-awareness in cloud systems. Our simulation results proved to be in accordance with the analytical models that were developed to model energy consumption of hard disk drives in cloud systems. The source code of CloudSimDisk is also made available for the research community for further testing and development.",,Undecided,Abstract Screening,1.5,1,,"C. Åhlund, B. Louis, S. Saguna, Karan Mitra",,2015,10.1109/ucc.2015.15,International Conference on Utility and Cloud Computing,,,79
PICS: A Public IaaS Cloud Simulator,"Public clouds become essential for many organizations to run their applications because they provide huge financial benefits and great flexibility. However, it is very challenging to accurately evaluate the performance and cost of applications without actual deployment on the clouds. Existing cloud simulators are generally designed from the perspective of cloud service providers, thus they can be under-developed for answering questions for the perspective of cloud users. To solve this prediction and evaluation problem, we created a Public Cloud IaaS Simulator (PICS). PICS enables the cloud user to evaluate the cost and performance of public IaaS clouds along with such dimensions like VM and storage service, resource scaling, job scheduling, and diverse workload patterns. We extensively validated PICS by comparing its results with the data acquired from real public IaaS cloud using real cloud-applications. We show that PICS provides highly accurate simulation results (less than 5% of average errors) under a variety of use cases. Moreover, we evaluated PICS' sensitivity with imprecise simulation parameters. The results show that PICS still provides very reliable simulation results with imprecise simulation parameters and performance uncertainty.",,Undecided,Abstract Screening,1.5,1,,"M. Humphrey, I. Kim, Wei Wang",,2015,10.1109/cloud.2015.37,IEEE International Conference on Cloud Computing,,,37
ContainerCloudSim: An environment for modeling and simulation of containers in cloud data centers,"Containers are increasingly gaining popularity and becoming one of the major deployment models in cloud environments. To evaluate the performance of scheduling and allocation policies in containerized cloud data centers, there is a need for evaluation environments that support scalable and repeatable experiments. Simulation techniques provide repeatable and controllable environments, and hence, they serve as a powerful tool for such purpose. This paper introduces ContainerCloudSim, which provides support for modeling and simulation of containerized cloud computing environments. We developed a simulation architecture for containerized clouds and implemented it as an extension of CloudSim. We described a number of use cases to demonstrate how one can plug in and compare their container scheduling and provisioning policies in terms of energy efficiency and SLA compliance. Our system is highly scalable as it supports simulation of large number of containers, given that there are more containers than virtual machines in a data center. Copyright © 2016 John Wiley & Sons, Ltd.",,Undecided,Abstract Screening,1.5,1,,"R. Calheiros, A. V. Dastjerdi, R. Buyya, Sareh Fotuhi Piraghaj",,2017,10.4018/978-1-5225-0759-8.ch017,"Software, Practice & Experience",,,35
Round robin selection of datacenter simulation technique cloudsim and cloud analsyt architecture and making it efficient by using load balancing technique,"Cloud Service Providers always offer Communication services that are flexible, on demand and measured. Multimedia services are used to be delivered through Cloud computing with severe QoS necessities. So there is a recent research is going on as a challenge between researchers, the QoS-aware, cost-efficient selection of data centers, due to these all necessities. Here in this work, there is an optimization approach to observe Cloud Data Center Selection Problem. The main feature of cloud computing is to achieve a high user agreement and enlarged resource consumption ratio by ensuring an well-organized and fair allotment of every computing resource is efficient load balancing. It helps to get appropriate load balancing aids in minimizing resource utilization, implementing fail-over, enabling scalability, avoiding bottleneck etc. In cloud computing situation load balancing is self-possessed of selecting data center for future demand and virtual machine organization at entity data center. Cloud computing resources have a variety of technology that make easy the implementation of big scale requirement. Therefore, the selection of appropriate data center for execution of a task is a significant feature to improve the performance of cloud computing. In this paper available policy for data center choice is Round-robin with simulation technique and also how CloudSim and cloud analyst help in selection of datacenter many more.",,Rejected,Abstract Screening,1.444444,1,,"Sumit Kumar Bola, S. Beniwal, Sarvesh Kumar, Ankita Pareek, Lahar Singh Nishad",,2016,10.1145/2905055.2905253,International Conference on Computing for Sustainable Global Development,,,16
Edgenetworkcloudsim: Placement of service chains in edge clouds using networkcloudsim,"Edge cloud computing is a trending paradigm, which extends cloud computing by additionally utilizing computing resources at the network edge, e.g., at mobile base stations. Especially personalized services can be instantiated or migrated close to end users, which improves the latency and supports user mobility. However, the placement of the service chains is crucial for the performance of the services and the energy consumption of the edge cloud platform, and appropriate algorithms have to be designed. To support the simulative performance evaluation of such algorithms, EdgeNetworkCloudSim was developed. It is an extension of NetworkCloudSim, and allows to simulate and evaluate the orchestration and consolidation of service chains in an edge network cloud.",,Rejected,Abstract Screening,1.375,1,,"Florian Wamser, Brice Kamneng Kwam, P. Tran-Gia, Michael Seufert",,2017,10.1109/netsoft.2017.8004247,IEEE Conference on Network Softwarization,,,96
Integrating I/Os in Cloudsim for Performance and Energy Estimation,"This article presents an extension of the IaaS Cloud simulator CloudSim. This extension takes into account the processing of i/o workload generated by virtual machines within a data center, and evaluates the overall performance and energy consumption. Indeed, according to state-of-the-art mstudies, storage systems energy consumption may account for as much as 40% in a data center. So, we modified the time computation model of CloudSim to consider i/o operations. Additionally, we designed several models of storage system devices including Hard Disk Drives and Solid-State Drives. We also modeled cpu utilization to compute the energy consumptions related to i/o request processing. This was achieved through machine learning techniques. Our storage system extensions have been evaluated using video encoding traces. The simulation results show that a significant amount of energy, around 25%, is consumed due to i/o workload execution. This corroborates the soundness of our CloudSim extensions.",,Rejected,Abstract Screening,1.375,1,,"Frank Singhoff, Hamza Ouarnoughi, S. Rubini, Jalil Boukhobza",,2017,10.1145/3041710.3041715,ACM SIGOPS Operating Systems Review,,,26
Energy-Efficient And Improved Qos -Driven Task Scheduling Algorithm In Mcc Environment Using Cloudsim Simulator,"Feature selection plays an important role in breast cancer classification. Feature selection identifies the most informative feature subset from feature set that can accurately classify the given data. The texture features, intensity histogram features, shape features and radial distance features have been extracted from mammogram image and the optimal feature set has been obtained using improved lion optimisation algorithm (ILOA). The overall accuracy of a classifier is used as a fitness value for ILOA. In the proposed work minimum distance classifier, K-nearest neighbour classifier and support vector machine have been used. The proposed ILOA technique can efficiently find small feature subsets and able to classify the breast cancer data set with a very excellent accuracy. The performance of the ILOA is compared with the cuckoo search and harmony search. Experimental result shows that the result obtained from minimum distance classifier through ILOA is more accurate than the other algorithm. These algorithms can provide valuable information to the physician in medical pathology.",,Rejected,Abstract Screening,1.333333,1,,K.Suganthi,,2019,10.1504/ijbic.2019.103963,,,,235
CloudSimSFC: Simulating Service Function chains in Multi-Domain Service Networks,"Service Function Chain (SFC) is widely adopted in Multi-domain https://www.sciencedirect.com/topics/computer-science/network-service (MDSN) to enforce network policies on customer traffic. Great effort has been devoted to the research of SFC https://www.sciencedirect.com/topics/computer-science/deployment-strategy. In this context, simulators are helpful to the design and evaluation of those strategies. A good SFC simulator should be accurate, comprehensive and user-friendly for SFC simulation. However, existing simulators fail to satisfy the requirement due to two major drawbacks: First, they overlook the resource heterogeneity and performance instability of the MDSN environment. Second, their performance models for service functions are too simple to contain the important features such as traffic changing effect and packet queue. To overcome these drawbacks, we propose CloudSimSFC — a new SFC simulator that (1) simulates the performance fluctuations and server failure/recovery events in MDSN environment to align with the performance instability of real-world systems, (2) elaborates the modeling of service functions by incorporating the computation components such as CPU and queue, and the traffic changing effect which happens during https://www.sciencedirect.com/topics/computer-science/packet-processing, (3) employs scenario abstraction to simplify the definition of new (heterogeneous) simulation scenarios and supports standard service metrics like request–response time. With these features, CloudSimSFC can be used to simulate SFC run-time performance and evaluate deployment strategies. We introduce the https://www.sciencedirect.com/topics/computer-science/system-architectures of CloudSimSFC to explain the simulation principle. We conduct extensive experiments to evaluate the simulation accuracy of CloudSimSFC by comparing it with an SFC prototype. Experimental results confirm that CloudSimSFC achieves 95%+ accuracy in all the evaluation scenarios. We also evaluate the simulation running time and analyze the overhead caused by the proposed simulation features. Finally, we demonstrate the primary usage of CloudSimSFC with https://www.sciencedirect.com/topics/computer-science/case-study.

",,Rejected,Abstract Screening,1.333333,1,,"Haibin Cai, Xudong Liu, Xudong Mou, Rui Cheng, Jie Sun, Xiaohui Guo, R. Buyya, Tianyu Wo",,2022,10.1016/j.simpat.2022.102597,Simulation modelling practice and theory,,,62
Application of the Cloudsim Toolkit in Virtual Machine Placement,"This paper introduced the architecture,core class libraries and applications of the Cloud Computing simulation toolkit— Cloudsim.Besides we found a mathematical model for virtual machine placement problem,and introduced a new approximation algorithm CF to solve it.This algorithm was compared with Cloudsim built-in algorithm FCFS.Simulations were finished on Cloudsim.The result showed that cloud computing resource utilization can be effectively improved by optimizing the virtual machine placement algorithm.And Cloudsim can efficiently support extended simulation and realize the simulation of virtual machine placement algorithm.",,Rejected,Abstract Screening,1.3,1,,Liu Ch,,2015,10.1109/icc.2015.7249255,,,,150
A new approach to survey on load balancing in VM in cloud computing: Using CloudSim,"""Cloud Computing"" is a technique which content software and web-services. We use it on pay-per use demand services. Central to all issues related to Cloud service lies under the establishment of an effective load balancing algorithm in a dynamic session. In this paper, we propose an approach of Round Robin technique in a circular way and by this method we try to clarify the load balancing scenario of a cloud server during its execution. It will help to get an effective and fast execution environment of task assigned by the user which helps in to create an effective communication framework between broker and virtual machine (VM) to optimize the time and minimize the cost. We implement it over CloudSim 3.0 under VM scheduling (Space and Time sharing) policies. Scheduling over Virtual Machine and Cloudlets are being analyzed over Round Robin and FCFS scheduling policy.",,Rejected,Abstract Screening,1.3,1,,"Soumen Santra, Kalyani Mali",,2015,10.1109/ic4.2015.7375671,Journées Francophones d'Ingénierie des Connaissances,,,88
ACE: Availability-Aware CloudSim Extension,"In the interconnected globe where service delivery is the success measure, cloud high availability (HA) is an indispensable area for enterprises. An HA-aware cloud system provides different approaches to handle the outages. This includes geo-redundancy, failover schemes, and HA-aware placement solutions. However, using real-cloud platforms to model HA-aware approaches is hindered by the configuration settings. To this end, simulation tools, such as CloudSim, can be used to evaluate HA solutions and a cloud resiliency against failures. CloudSim allows implementing of scheduling policies, but it does not support HA properties. This paper provides availability-aware CloudSim extension (ACE). ACE extends CloudSim with a graphical and textual modeling to ensure simplicity and reusability of cloud scenarios. ACE has added HA-aware modeling (HA metrics and failure/redundancy/interdependency models) and HA-aware scheduling (HA-aware placements, failover, repair, and load balancing policies) into CloudSim. With ACE, the creation of cloud scenarios is facilitated, and multiple HA-aware deployment solutions can be evaluated under different stochastic and deterministic events. ACE can assess the impact of different redundancy/failure models, and other performance policies to extract HA-aware lessons. In this paper, ACE is assessed on a cloud application to evaluate different redundancy/failure models and provide availability analysis of the HA-aware placement solution.",,Rejected,Abstract Screening,1.285714,1,,"A. Shami, Manar Jammal, Hassan Hawilo, A. Kanso",,2018,10.1109/tnsm.2018.2879665,IEEE Transactions on Network and Service Management,,,144
CLOUD SIMULATION OF A FLEXIBLE MANIPULATOR SYSTEM,"This paper reports the development of a cloud simulation environment for a single link flexible manipulator system, where users can perform a simulation exercise from a remote location via a graphical user interface (GUI). The cloud simulation is an arrangement where simulation runs on a server and can be accessed by the users from remote locations. Within the developed environment the user selects desired system specifications via the GUI and passes them to the hosting server for the simulation to be performed at the server. The simulation results are subsequently presented to the remote user via the GUI. This paper details the technical development process and highlights its advantages and shortcomings. A number of case studies are also provided to demonstrate the potential of this environment for educational activities.",,Undecided,Abstract Screening,1.25,1,,"M. S. A. Quadri, R. Hashemian, A. Azad",,2017,10.1049/pbce086e,,,,139
IsV2C: An Integrated Road Traffic-Network-Cloud Simulator for V2C Connected Car Services,"The recent growth of connected car technology encourages IT and vehicle organizations to develop advanced vehicle-to-cloud (V2C) services such as driving assistance, infotainment, and vehicle maintenance. However, since their performances highly depend on the resource configuration and regional characteristics, it is almost impossible to examine the service feasibility in every candidate region by constructing real testbeds. To overcome this problem, we present an integrated road traffic-network-cloud simulator for V2C connected car services (IsV2C) with a user-friendly GUI. The IsV2C aims to evaluate V2C services with the user-specified V2C environment and service scenarios in a particular region. In the IsV2C, road traffic, network, and cloud simulation are intimately linked to reflect both the realistic movement of vehicles and service transactions in real-time. To accurately mimic task execution in both vehicles and the cloud, the IsV2C utilizes a rigorous emulation for evaluated services. Simulation results of the IsV2C show whether each simulated application satisfies the service level objectives regarding service time, cloud cost, and data transmission performance. As for the validation, we evaluated three sample V2C applications in an urban area, and the results proved that the IsV2C could offer useful information to both service providers and cloud providers for their service launching and profit estimation. To the best of our knowledge, the IsV2C is the first work that presents an integrated road traffic-network-cloud simulation framework for an end-to-end V2C service evaluation.",,Rejected,Abstract Screening,1.25,1,,"Sungpil Woo, Nhat Pham, Minsu Jeon, Jisoo Choi, Jiyong Han, Jeongkyu Park, Dongsik Yoon, Seonghwan Kim, Daeyoung Kim, Chan-Hyun Youn, Eunjoo Yang, Heejae Kim",,2017,10.1109/scc.2017.62,IEEE International Conference on Services Computing,,,91
A modelling & Simulation via CloudSim for Live Migration in Virtual Machines,"In growing era of cloud computing, one major utility is better and improved performance. For which Cloud Computing is a model which provides various resources available in a pool from where the users can get available the same when required. In the overall process there can be an important issue that is Fault tolerance to provide the high availability for the process which is being required by the user. And simultaneously if any fault occurs then user might not found any server downtime and other kind of delay in getting the response. There are many compute nodes such as Virtual machines further controlled by the Hypervisor. For transferring the load among compute nodes can be done by Cold Migration earlier there was a technique Non-Live migration. But at the same time there were lot many issues and challenges with the same that user might get the server downtime for infinite delay. For overcoming that there is an on-going technique which is known as Hot Migration or Live migration. It allows system administrators to shuffle the load available on an operating system instance to other Guest Operating system instance without any intervention on hosted service. This approach benefits to provide and efficient online system where no downfall in server maintenance. It also cures the load balancing, reconfiguration of data centers. The simulation of above aforesaid concept has been done via Cloudsim a tool for modelling and simulation in Cloud computing environment for live migration of virtual machines without intervention of cloud services. This paper simulated the work and gives the efficient results in comparison to the existing techniques.",,Rejected,Abstract Screening,1.25,1,,Ambika Gupta,,2021,10.1088/1757-899x/1116/1/012138,,,,47
PerficientCloudSim: a tool to simulate large-scale computation in heterogeneous clouds,"The major reason for using a simulator, instead of a real test-bed, is to enable repeatable evaluation of large-scale cloud systems. CloudSim, the most widely used simulator, enables users to implement resource provisioning, and management policies. However, CloudSim does not provide support for: (i) interactive online services; (ii) platform heterogeneities; (iii) virtual machine migration modelling; and (iv) other essential models to abstract a real datacenter. This paper describes modifications needed in the classical CloudSim to support realistic experimentations that closely match experimental outcomes in a real system. We extend, and partially re-factor CloudSim to “PerficientCloudSim” in order to provide support for large-scale computation over heterogeneous resources. In the classical CloudSim, we add several classes for workload performance variations due to: (a) CPU heterogeneities; (b) resource contention; and (c) service migration. Through plausible assumptions, our empirical evaluation, using real workload traces from Google and Microsoft Azure clusters, demonstrates that “PerficientCloudSim” can reasonably simulate large-scale heterogeneous datacenters in respect of resource allocation and migration policies, resource contention, and platform heterogeneities. We discuss statistical methods to measure the accuracy of the simulated outcomes.",,Undecided,Abstract Screening,1.2,1,,"I. Rahman, Lee Gillam, M. Zakarya, A. Khan",,2020,10.1007/s11227-020-03425-5,Journal of Supercomputing,,,243
